url,city,state,street-address,zipcode,sqft,price,price/sqft
/realestateandhomes-detail/49-51-Commonwealth-Ave-Unit-B_Boston_MA_02116_M91252-25737,Boston,MA,49-51 Commonwealth Ave Unit B,2116,"4,250sqft","$12,900,000 ","$3,035 "
/realestateandhomes-detail/24-Union-Ave-1_Boston_MA_02130_M97688-20188,Boston,MA,24 Union Ave Unit 1,2130,"2,241sqft","$1,595,000 ",$712 
/realestateandhomes-detail/41-Park-St_Boston_MA_02132_M32201-16874,Boston,MA,41 Park St,2132,"3,436sqft","$999,000 ",$291 
/realestateandhomes-detail/45-Coffey-St-Unit-1_Boston_MA_02122_M38155-25841,Boston,MA,45 Coffey St Unit 1,2122,"2,047sqft","$849,000 ",$415 
/realestateandhomes-detail/535-Newbury-St_Boston_MA_02215_M41472-41034,Boston,MA,535 Newbury St,2215,"4,594sqft","$4,975,000 ","$1,083 "
/realestateandhomes-detail/22-Upton-St-Apt-1_Boston_MA_02118_M49888-08886,Boston,MA,22 Upton St Apt 1,2118,"1,800sqft","$2,299,000 ","$1,277 "
/realestateandhomes-detail/21-Father-Francis-Gilday-St-Apt-114_Boston_MA_02118_M47173-99804,Boston,MA,21 Father Francis Gilday St Apt 114,2118,"1,263sqft","$1,175,000 ",$930 
/realestateandhomes-detail/1721-Centre-St-Apt-204_Boston_MA_02132_M97672-64787,Boston,MA,1721 Centre St Apt 204,2132,"1,170sqft","$679,900 ",$581 
/realestateandhomes-detail/478-Beacon-St-Apt-4_Boston_MA_02115_M34064-32372,Boston,MA,478 Beacon St Apt 4,2115,658sqft,"$749,000 ","$1,138 "
/realestateandhomes-detail/221-Columbus-Ave-Apt-502_Boston_MA_02116_M91564-12207,Boston,MA,221 Columbus Ave Apt 502,2116,"1,694sqft","$1,599,000 ",$944 
/realestateandhomes-detail/1543-1545-River-St-Unit-1_Boston_MA_02136_M38224-67334,Boston,MA,1543-1545 River St Unit 1,2136,"1,320sqft","$439,900 ",$333 
/realestateandhomes-detail/10-Linwood-St_Boston_MA_02119_M34253-85449,Boston,MA,10 Linwood St,2119,"4,708sqft","$2,800,000 ",$595 
/realestateandhomes-detail/18-Bartlett-St-2_Boston_MA_02129_M35493-84221,Boston,MA,18 Bartlett St Unit 2,2129,930sqft,"$775,000 ",$833 
/realestateandhomes-detail/37-Spring-Park-Ave_Boston_MA_02130_M37075-45404,Boston,MA,37 Spring Park Ave Unit 37,2130,"2,054sqft","$1,190,000 ",$579 
/realestateandhomes-detail/2160-Century-Park-E-Apt-1702_Los-Angeles_CA_90067_M26885-40801,Los-Angeles,CA,2160 Century Park E Apt 1702,90067,"1,070sqft","$1,049,000 ",$980 
/realestateandhomes-detail/214-W-113th-St_Los-Angeles_CA_90061_M26157-09851,Los-Angeles,CA,214 W 113th St,90061,"1,002sqft","$535,000 ",$534 
/realestateandhomes-detail/3412-E-3rd-St_Los-Angeles_CA_90063_M16824-58242,Los-Angeles,CA,3412 E 3rd St,90063,"3,024sqft","$1,300,000 ",$430 
/realestateandhomes-detail/1925-S-Rimpau-Blvd_Los-Angeles_CA_90016_M15041-57766,Los-Angeles,CA,1925 S Rimpau Blvd,90016,"2,200sqft","$1,699,900 ",$773 
/realestateandhomes-detail/10615-Esther-Ave_Los-Angeles_CA_90064_M23611-33604,Los-Angeles,CA,10615 Esther Ave,90064,"2,877sqft","$3,195,000 ","$1,111 "
/realestateandhomes-detail/2512-S-Centinela-Ave_Los-Angeles_CA_90064_M23990-33067,Los-Angeles,CA,2512 S Centinela Ave,90064,"2,209sqft","$2,950,000 ","$1,335 "
/realestateandhomes-detail/2620-W-17th-St_Los-Angeles_CA_90019_M17723-60754,Los-Angeles,CA,2620 W 17th St,90019,"7,650sqft","$3,300,000 ",$431 
/realestateandhomes-detail/1420-S-Bundy-Dr-Apt-104_Los-Angeles_CA_90025_M24843-07844,Los-Angeles,CA,1420 S Bundy Dr Apt 104,90025,"1,790sqft","$1,150,000 ",$642 
/realestateandhomes-detail/517-W-107th-St_Los-Angeles_CA_90044_M23649-84591,Los-Angeles,CA,517 W 107th St,90044,982sqft,"$549,900 ",$560 
/realestateandhomes-detail/5601-W-Olympic-Blvd-Unit-303_Los-Angeles_CA_90036_M24412-90168,Los-Angeles,CA,5601 W Olympic Blvd Unit 303,90036,"1,140sqft","$899,999 ",$789 
/realestateandhomes-detail/10966-Rochester-Ave-Apt-6D_Los-Angeles_CA_90024_M23345-51614,Los-Angeles,CA,10966 Rochester Ave Apt 6D,90024,979sqft,"$535,000 ",$546 
/realestateandhomes-detail/2615-Marathon-St_Los-Angeles_CA_90026_M97698-56501,Los-Angeles,CA,2615 Marathon St,90026,"2,383sqft","$2,049,000 ",$860 
/realestateandhomes-detail/10102-Empyrean-Way-Apt-103_Los-Angeles_CA_90067_M26613-73929,Los-Angeles,CA,10102 Empyrean Way Apt 103,90067,"2,732sqft","$2,995,000 ","$1,096 "
/realestateandhomes-detail/1524-S-Wooster-St_Los-Angeles_CA_90035_M16940-52322,Los-Angeles,CA,1524 S Wooster St,90035,"6,376sqft","$2,100,000 ",$329 
/realestateandhomes-detail/2366-Lyric-Ave_Los-Angeles_CA_90027_M26753-92221,Los-Angeles,CA,2366 Lyric Ave,90027,"2,363sqft","$1,545,000 ",$654 
/realestateandhomes-detail/2057-N-Catalina-St_Los-Angeles_CA_90027_M14657-16983,Los-Angeles,CA,2057 N Catalina St,90027,"2,644sqft","$2,898,888 ","$1,096 "
/realestateandhomes-detail/259-N-Burlington-Ave_Los-Angeles_CA_90026_M19438-92647,Los-Angeles,CA,259 N Burlington Ave,90026,"4,316sqft","$2,995,000 ",$694 
/realestateandhomes-detail/4816-Glacier-Dr_Los-Angeles_CA_90041_M15587-81414,Los-Angeles,CA,4816 Glacier Dr,90041,"1,104sqft","$925,000 ",$838 
/realestateandhomes-detail/939-S-Broadway-Apt-308_Los-Angeles_CA_90015_M95518-69363,Los-Angeles,CA,939 S Broadway Apt 308,90015,940sqft,"$649,000 ",$690 
/realestateandhomes-detail/1145-Roberto-Ln_Los-Angeles_CA_90077_M19202-54759,Los-Angeles,CA,1145 Roberto Ln,90077,"2,468sqft","$2,999,888 ","$1,216 "
/realestateandhomes-detail/4321-Prospect-Ave_Los-Angeles_CA_90027_M15417-02240,Los-Angeles,CA,4321 Prospect Ave,90027,"3,619sqft","$2,690,000 ",$743 
/realestateandhomes-detail/458-N-Alta-Vista-Blvd_Los-Angeles_CA_90036_M22771-19722,Los-Angeles,CA,458 N Alta Vista Blvd,90036,"2,480sqft","$1,799,000 ",$725 
/realestateandhomes-detail/2020-Alta-St_Los-Angeles_CA_90031_M15072-02201,Los-Angeles,CA,2020 Alta St,90031,"1,436sqft","$899,000 ",$626 
/realestateandhomes-detail/3350-James-M-Wood-Blvd-Apt-7_Los-Angeles_CA_90006_M21745-89862,Los-Angeles,CA,3350 James M Wood Blvd Apt 7,90006,"2,000sqft","$1,195,000 ",$598 
/realestateandhomes-detail/2718-7th-Ave_Los-Angeles_CA_90018_M11980-55314,Los-Angeles,CA,2718 7th Ave,90018,658sqft,"$675,000 ","$1,026 "
/realestateandhomes-detail/5134-W-20th-St_Los-Angeles_CA_90016_M15090-39604,Los-Angeles,CA,5134 W 20th St,90016,"1,055sqft","$1,185,000 ","$1,123 "
/realestateandhomes-detail/1212-S-Victoria-Ave_Los-Angeles_CA_90019_M28761-33032,Los-Angeles,CA,1212 S Victoria Ave,90019,"2,491sqft","$2,199,000 ",$883 
/realestateandhomes-detail/160-N-Poinsettia-Pl_Los-Angeles_CA_90036_M19624-83369,Los-Angeles,CA,160 N Poinsettia Pl,90036,"2,060sqft","$2,595,000 ","$1,260 "
/realestateandhomes-detail/1568-Blue-Jay-Way_Los-Angeles_CA_90069_M10134-94771,Los-Angeles,CA,1568 Blue Jay Way,90069,"7,700sqft","$17,495,000 ","$2,272 "
/realestateandhomes-detail/4211-Glenwood-Ave_Los-Angeles_CA_90065_M12335-61534,Los-Angeles,CA,4211 Glenwood Ave,90065,"1,068sqft","$1,350,000 ","$1,264 "
/realestateandhomes-detail/901-S-Gramercy-Dr-Unit-202_Los-Angeles_CA_90019_M95817-62916,Los-Angeles,CA,901 S Gramercy Dr Unit 202,90019,"1,617sqft","$949,900 ",$587 
/realestateandhomes-detail/4501-Maplewood-Ave_Los-Angeles_CA_90004_M28087-76721,Los-Angeles,CA,4501 Maplewood Ave,90004,"3,192sqft","$1,595,000 ",$500 
/realestateandhomes-detail/4300-Don-Arellanes-Dr_Los-Angeles_CA_90008_M26467-42935,Los-Angeles,CA,4300 Don Arellanes Dr,90008,"2,289sqft","$1,995,000 ",$872 
/realestateandhomes-detail/3941-Buckingham-Rd_Los-Angeles_CA_90008_M29654-04009,Los-Angeles,CA,3941 Buckingham Rd,90008,"2,100sqft","$1,399,000 ",$666 
/realestateandhomes-detail/5040-Williams-Pl_Los-Angeles_CA_90032_M17373-19396,Los-Angeles,CA,5040 Williams Pl,90032,601sqft,"$565,000 ",$940 
/realestateandhomes-detail/2054-N-Las-Palmas-Ave_Los-Angeles_CA_90068_M12648-74617,Los-Angeles,CA,2054 N Las Palmas Ave,90068,"2,603sqft","$2,197,000 ",$844 
/realestateandhomes-detail/2423-Ridgeview-Ave_Los-Angeles_CA_90041_M12817-23653,Los-Angeles,CA,2423 Ridgeview Ave,90041,"1,736sqft","$1,648,000 ",$949 
/realestateandhomes-detail/2848-Hillcrest-Dr_Los-Angeles_CA_90016_M11229-27174,Los-Angeles,CA,2848 Hillcrest Dr,90016,"1,389sqft","$1,095,000 ",$788 
/realestateandhomes-detail/10546-Tennessee-Ave_Los-Angeles_CA_90064_M20321-38491,Los-Angeles,CA,10546 Tennessee Ave,90064,"1,645sqft","$2,198,000 ","$1,336 "
/realestateandhomes-detail/3903-W-59th-Pl_Los-Angeles_CA_90043_M19312-04648,Los-Angeles,CA,3903 W 59th Pl,90043,"1,748sqft","$1,049,900 ",$601 
/realestateandhomes-detail/159-W-94th-St_Los-Angeles_CA_90003_M20954-77295,Los-Angeles,CA,159 W 94th St,90003,"2,216sqft","$615,000 ",$278 
/realestateandhomes-detail/750-N-Alfred-St-Apt-3_Los-Angeles_CA_90069_M23933-89463,Los-Angeles,CA,750 N Alfred St Apt 3,90069,"1,641sqft","$1,500,000 ",$914 
/realestateandhomes-detail/2826-Macon-St_Los-Angeles_CA_90065_M10705-97567,Los-Angeles,CA,2826 Macon St,90065,"1,256sqft","$949,000 ",$756 
/realestateandhomes-detail/4295-Via-Arbolada-Unit-311_Los-Angeles_CA_90042_M18387-08653,Los-Angeles,CA,4295 Via Arbolada Unit 311,90042,"1,044sqft","$699,000 ",$670 
/realestateandhomes-detail/11208-Mona-Blvd_Los-Angeles_CA_90059_M24601-24541,Los-Angeles,CA,11208 Mona Blvd,90059,905sqft,"$220,000 ",$243 
/realestateandhomes-detail/1322-W-71st-St_Los-Angeles_CA_90044_M29599-46735,Los-Angeles,CA,1322 W 71st St,90044,"1,066sqft","$640,000 ",$600 
/realestateandhomes-detail/8693-Franklin-Ave_Los-Angeles_CA_90069_M93752-08116,Los-Angeles,CA,8693 Franklin Ave,90069,"3,200sqft","$5,495,000 ","$1,717 "
/realestateandhomes-detail/313-N-Union-Ave_Los-Angeles_CA_90026_M19142-66222,Los-Angeles,CA,313 N Union Ave,90026,"4,026sqft","$1,495,000 ",$371 
/realestateandhomes-detail/207-E-94th-St_Los-Angeles_CA_90003_M20358-89053,Los-Angeles,CA,207 E 94th St,90003,"1,016sqft","$509,900 ",$502 
/realestateandhomes-detail/707-N-Avenue-54_Los-Angeles_CA_90042_M13157-70203,Los-Angeles,CA,707 N Avenue 54,90042,"1,388sqft","$1,312,000 ",$945 
/realestateandhomes-detail/8419-Truxton-Ave_Los-Angeles_CA_90045_M13928-75364,Los-Angeles,CA,8419 Truxton Ave,90045,"1,681sqft","$1,688,888 ","$1,005 "
